word,frequency,example_sentence,reading,meaning,part_of_speech
ナゾ,3,謎の娘のあとを追う。,,,
ムレ,3,なら私、群れの近くに行って撃ち落された子を受けとめますね。,,,
サッパリ,3,敵に従ってるわけでもなさそうだしあたしたちも状況がさっぱりだよ。,,,
シトヤカ,3,叔母さんも淑やかっていうよりは私みたいに大雑把な感じでさ。,,,
オシツブス,3,王冠に押しつぶされて腑抜けになってくれるなよ、アレイン。,,,
ホバク,3,里の魔女はすべて捕縛せよとの命だもう一度手分けして捜すぞ。,,,
ミナモト,3,ゼノイラの将が力の源となっていたのかもしれんな。,,,
コンイ,3,今まで懇意にしていた貴族たちは手のひらを返し私たちを見捨てたわ。,,,
ナグサメル,3,参ったなあそっちを慰めるつもりだったのにまあいいけど。,,,
テバヤイ,3,あの者を倒せば目を覚ますはず手早く対処いたしましょう。,,,
マグレ,3,敵は昏倒まぐれにしては良い筋だったよ。,,,
ダンカイ,3,すでに我が計画は最終段階ゼノイラの復活はもう始まっている。,,,
ネツイ,3,オーシュ解放軍での功績を母の墓前に報告した彼はそれ以来生家には戻らず、自身の熱意の赴くまま、魔術の研究に明け暮れた後に彼の記した研究書は特別な出自を持たない魔術志望者にとって良き道しるべとなったという。,,,
サソイ,3,ベレンガリア戦後、三角獣傭兵団を再結成するドラケンガルド王から王立騎士団とする誘いを受けるもそれを断るその後仲間を増やし、世界各地を飛び回っては弱きを助け強きをくじくために戦った後年、フェブリスではその名を知らぬ者のない傭兵団となり後世に語り継がれることになった。,,,
ケイセイ,3,人質として捕らわれた巫女を救出できれば形勢は逆転するわ。,,,
タリスマン,3,うーん神樹のタリスマンか。,,〔S・キング作の小説〕 The Talisman.,
ヨウゴ,3,タチアナ様から今までの作業についてまとめるようご指示いただきました。,,,
ドラ,3,ドラシア材が30個もあれば復旧できると思うんだが。,,,
ショウスウ,3,少数の監視を残し、王子の軍はソルドラーガ城に集結しております。,,,
サントルリッシュ,3,サントルリッシュの町近郊。,,,
フカデ,3,すまない深手を負った退かせてもらう。,,,
タマ,3,ブルーノはそんなタマじゃあないよな。,,,
ニジュウ,3,正妃だなんて贅沢は言わないわ王ならお妾の十人や二十人いいでしょ。,,,
オドル,3,胸が躍りますね。,,,
シア,3,ドラシア材が30個もあれば復旧できると思うんだが。,,,
リョウナイ,3,その君の領内が落ち着いてからでいいのだが。,,,
トウタツ,3,吹雪の里の入り口に到達する。,,,
セイゲン,3,今まで外出も制限されていたから久しぶりに外でお話できて嬉しいわ。,,,
ドウセキ,3,よければ君も同席してもらえると嬉しいのだが。,,,
ヌル,3,お前の面に泥塗らないように俺もしゃきっとしねえとな。,1,1 【数】 〜の 〔長さが 0 の〕 null.,数
チビ,3,向こうにいるチビたちと遊んでやりてぇからな。,,,
サワグ,3,いや、そんなんじゃないんだが騒がせてごめんな、嬢ちゃん。,,,
タヅナ,3,お前みたいな筋肉バカの手綱を引くやつがいるだろ。,,,
テゴワイ,3,いずれにしても魔術師は手強い厳しいと思ったら引き返すのも手だ。,,,
キンニク,3,お前みたいな筋肉バカの手綱を引くやつがいるだろ。,,,
オロソカ,3,私はその調査に没頭するとそれ以外を疎かにしがちで。,,,
オウセ,3,あっ逢瀬とかじゃ、ないですからわ、私は研究一筋の人間で。,,,
トオデ,3,せっかくの遠出、故郷の同志へ土産を買って帰ろうと思っておる。,,,
クナン,3,領民たちも皆、長きに渡って苦難にさらされましたが。,,,
トシオイル,3,いや年老いた魔女なんてどこにも。,,,
ワダイ,3,むさ苦しい盗賊団に育ちの良さそうな小娘がいるって一時話題になってたぜ。,,,
ソセイ,3,なるほど君たちの素性はわかった。,,,
カエリミル,3,危険を顧みず、先頭に立ち続け最後には大陸を平和に導いた。,,,
ドロ,3,お前の面に泥塗らないように俺もしゃきっとしねえとな。,,,
フカマル,3,共に戦って、アレイン陛下との絆が深まったのではないでしょうか。,,,
カカワリ,3,深い関わりのないあなたがなぜ、そこまでしようとするの。,,,
タダス,3,あーあ、王冠を被って姿勢を正したアレインもかっこいいけど。,,,
エンゲキ,3,たまにな町の子供たちのために絵本を演目にして演劇をしていたんだ。,,,
ヤスミ,3,す、すみませんお休みのところ突然押しかけて。,,,
イイブン,3,使用人たちへの言い分を考えておかなくてはいけませんな。,,,
チュウリツ,3,敵・中立軍に味方拠点が制圧される。,,,
ミヌク,3,メリザンド様は見抜いていたのでしょうな。,,,
ミチガエル,3,破壊されたあと見捨てられた町が見違えるようになりました。,,,
フケル,3,ガラにもなく物思いにでも耽ってるのか。,,,
イガミアウ,3,元はいがみ合ってた俺たちも今は大事な仲間だ。,,,
カイソロエル,3,それでしたら町で軍備を買い揃えては。,,,
マヌガレル,3,そうだとしたら戦いは免れない行こう、今なら城に近づけるはずだ。,,,
ナンジュウ,3,もう何十年も昔の話です。,,,
ユルシ,3,あとで叱られるのは嫌だしお許しが出てよかったよ。,,,
シュルイ,3,まぁ、綺麗なお花ねこれはアルビオンでも見たことない種類だわ。,,,
アキラカ,3,明らかになめられてると思うんだけど。,,,
トウダイ,3,あの灯台の近くにいる梟族の方よ。,,,
フクロウ,3,あの灯台の近くにいる梟族の方よ。,,,
カワク,3,ドラケンガルドは貧しい土地は痩せ乾き、農耕にも牧畜にも向かぬ。,,,
ゾクゾク,3,腕の立つ男前が命をかけて戦う姿ってゾクゾクするわ。,,,
セイシツ,3,そもそもが力の性質に反していた。,,,
ツッパネル,3,だが、話を聞こうとしても合言葉を言えと突っぱねられてな。,,,
ァストクゴラ,3,そうかなら向かうはァストクゴラの町だ。,,,
ビビル,3,このオンパラスト領の領主は流行り病にびびって逃げてな。,,,
モエツキル,3,俺はこの命が燃え尽きるまでお前に命をかけ続ける。,,,
オシヨセル,3,くそ前線が崩れた拠点へ押し寄せてくるぞ。,,,
ミッテイ,3,いわゆる密偵ってやつだな情報収集が主な仕事だ。,,,
オシカエス,3,ほうあの包囲網からここまで押し返せるとはな。,,,
ヤネ,3,ハァまずは穴の開いた屋根を修繕しないといけません。,,,
バケツ,3,この雪国じゃ水はすぐに凍るでしょだから、バケツに水を入れておいて。,,a (water) bucket; a tin pail.,
メグマレル,3,ドラケンガルド人の心根には恵まれたコルニアへの反骨心がある。,,,
ニンニク,3,ふむたしか、そこの町に希少なニンニクがあると人づてに聞いた。,,,
オイボレ,3,この老いぼれも町の復興のため働きますぞ。,,,
ヒトタマリ,3,直接襲われたら一溜まりもない彼らも守ってやってくれ。,,,
キオウ,3,あまり気負いすぎてはいけませんよ疲れた時はいつでも仰ってくださいね。,,,
トウバン,3,あんたさぁ私が当番の時だけつまみ食いに来てるでしょ。,,,
ジュウショウ,3,ここは疫病の重症者を隔離している近寄らん方が身のためだ。,,,
テッペキ,3,敵陣を縦横無尽に駆け抜け拠点の守りは鉄壁のように堅い。,,,
シルシ,3,アレイン殿下、地図をご用意しました目的地に印をつけております。,,,
ブユウ,3,ルノーはかつて共に戦った仲間で武勇に優れた騎士。,,,
シュジン,3,海だ主人公は世界中を航海するのさ。,,,
ヘイミン,3,なぜあんな平民上がりの騎士が重用されてんだ。,,,
ワキデル,3,実はこの裏で温泉が湧き出ているんですよ。,,,
ユメミル,3,これがお前の夢みた景色かいいじゃねぇか、気に入ったぜ。,,,
ヒネル,3,体をひねることでこの長髪を相手の武器に巻き付ける。,,,
モチダス,3,残念だが、聖所に保管された武具はすべて持ち出されてしまった。,,,
アワレ,3,哀れな奴だ。,,,
ナイシン,3,ロザリンデ様は平静を装われていても内心は相当苦しんでおられます。,,,
ミズウミ,3,今度近くの湖まで遊びに行こうよ悪い人はもういないし平気でしょ。,,,
キワメテ,3,なにきわめて単純なこと奴は約束を守ろうとしたのだ。,,,
コロガリコム,3,人様のお家に転がり込んでその家のお子さんと遊んでいたり。,,,
ユウフク,3,ああ、つい最近来た貿易商の人ね恰幅のいい裕福そうな方よ。,,,
トウブン,3,おまけに頑丈そうな門番もいるしこりゃ当分近づけそうにないなぁ。,,,
モグ,3,やったぜ60もぐもぐもぐ。,,,
ジョウリク,3,北の城門が封じられていますのでバストリアスから上陸をお願いします。,,,
アザヤカ,3,ァージニア戦が終わり、国に平穏が訪れるとドラケンガルド王から正式に婚姻の申し出がありこれを承諾する以来、コルニアとドラケンガルドの橋渡し役となり、友好の象徴として両国民から愛されたその豪胆な人柄と鮮やかな剣の腕から不撓の戦妃と称されている。,,,
バッスル,3,ああそうだな祖国に牙を向いた貴様を罰するいい機会だ。,,,
クチバシル,3,尋問でお前の名を口走らなければ済んだものを。,,,
ホンジツ,3,本日も何人かお怪我をされた方を看ましたが。,,,
タカブル,3,気持ちが高ぶって椅子から転げ落ち全身を打ってしまった方。,,,
ジョウブ,3,いえご心配には及びません私たちの羽は肌よりも丈夫ですから。,,,
ナラウ,3,乙女と一角獣心を通わせた彼女らに倣い。,,,
ホウカイ,3,忠実な騎士だったグロスタって男は国が崩壊したあと変わってしまったよ。,,,
エイヘイ,3,衛兵はおるか兵を集めろすぐに出るぞ。,,,
ヤワラゲル,3,だから戦いの時は恐怖を和らげるまじないをかけることもあった。,,,
カナメ,3,装備は戦力の要だちゃんと誰かに付けとけよ。,,,
チョウゾウ,3,この彫像も綺麗に磨いておかないとな。,,,
クイトメル,3,侵入を許すななんとしても食い止めるぞ。,,,
オイル,3,あなたがアルビオンにいたころから愛用しているバラのオイルですよ。,オイル・サンド,1 〔一般に油〕 oil; 〔石油〕 petroleum.,地質
オヤブン,3,あれ親分じゃないですかどうしてこんなところに。,,,
ゴホン,3,ごほんあらためてご即位おめでとうございます。,,,
ユキオトコ,3,それでね、とんでもなく大きい雪男が出たって騒がれたらしいんだけど。,,,
ハツビョウ,3,発病した者は隔離されてしまう徹底してるぜ。,,,
テキトウ,3,こんなの寄越されても邪魔なだけだ適当にあしらうしかねぇな。,,,
ヤリアウ,3,見慣れねえ軍とやりあってるじゃねぇか。,,,
ゲキセン,3,激戦だったなああんたら解放軍のおかげで勝てたよ。,,,
ウトム,3,人間を疎む者が減るよう私からも働きかけましょう。,,,
オモイツク,3,そうだいいことを思いつきました。,,,
ニュウダン,3,薔薇騎士団への入団希望の書簡が毎日、絶えず届いております。,,,
セッチ,3,この町にも人が住めるよう階段を設置したのだが。,,,
ヤエイ,3,ち、近くの野営地を解放しておきますご利用ください。,,,
シカリ,3,ゼノイラの将は処刑だ然るべく処置してくれ。,,,
カタグルマ,3,ああ、肩車ですね。,,,
ミツメル,3,この戦いは両国の関係を見つめ直す機会にもなるだろう。,,,
カンゴ,3,私は引き続き、病人の看護と治安維持に努めよう。,,,
ゾウショ,3,トラィス再結成された三角獣傭兵団の一員として世界を巡り切れ者としてその名を上げた傭兵には珍しい読書家でもありたまに祖国に帰ると、生家に寄り派遣先から大事に持ち帰った本をその膨大な蔵書に加えたという。,,,
ケダカイ,3,だけど、落ち込んじゃいないよエルフは気高いんだ。,,,
レシピ,3,自分なりにレシピから適量を計算したが、これで事足りるかと。,,,
アヤシム,3,他の言葉を言ったら怪しまれるから気をつけろよ。,,,
バケル,3,そう、なら盗賊に化けろって言われてもできるの蛮族とかでも。,,,
イタメル,3,来たるべき戦いに備えて剣を振っておったら、腰を痛めてしまったわい。,,,
デンライ,3,連中に騎士団伝来の槍の技存分に味わわせてやる。,,,
ムチュウ,3,申し訳ありません、バンザイに夢中で気がつきませんでした。,,,
ミンゾク,3,決戦だ我ら民族の誇りを取り戻すぞ。,,,
ヤスヤス,3,だが易々と退く気はないぜ首都さえ落ちりゃこっちのもんだ。,,,
アイヨウ,3,アレイン、あたしは長いこと生きてたくさんの物を愛用してきたけど。,,,
ハンメイ,3,その方法が間違いだと判明しなければ正しい答えにも近づけない。,,,
ハマル,3,毎日飽きもせず、指にはまっているのを眺めて嬉しくなってしまう。,,,
シキン,3,ちょうど資金もあることですし私が町へご案内しましょう。,,,
カイダン,3,この町にも人が住めるよう階段を設置したのだが。,,,
セイモン,3,正門を落としてから攻め込むとは馬鹿正直な連中だ。,,,
トッテオキ,3,とっておきの情報をやるよ探してみてくれ。,,,
ヒトダスケ,3,これからは人助けしながら生きてみるってのも悪かねぇな。,,,
アテル,3,一発当てられるようになったら俺はまた強くなった実感が湧く。,,,
イタメツケル,3,あれだけ痛めつけりゃ戻ってこないさ、一安心だよ。,,,
カイマミエル,3,寛容だけどそれだけじゃない強い意志に残酷さも垣間見える。,,,
ハレスガタ,3,共に戦い抜いたお前の晴れ姿を見られて、俺も嬉しい。,,,
サイゼン,3,わかりました、それがこの国にとっても最善でしょうから。,,,
クズレ,3,砂漠には多くの盗賊団がいる手練れの元軍人や騎士崩れも多いぞ。,,,
サトオサ,3,ああ、よかった里長も無事だろうか。,,,
ヤクシ,3,ヒルダ戦が終わると、武器を置き今なお疫病に苦しむ人々を救うため薬学を学ぶ努力の末に薬師になった彼女は、妹プリムと手を取り合い、身を粉にして病と向き合った後年、多くの人々を救った彼女は妹と飛竜と共に歴史書に記されたという。,,,
ケムクジャラ,3,俺も来世は毛むくじゃらになりたいな。,,,
ジュウジツ,3,物資が充実してりゃ仕事にも精が出るってもんさ。,,,
ケンチク,3,やはりバストリアスの建築とは違っていて、とても面白いですね。,,,
ミオクル,3,戴冠に向かう貴方の後ろ姿を見送った時。,,,
イイカエス,3,なぜ言い返さないあれは術のせいであんたのせいじゃないだろう。,,,
マジマジ,3,こんな機会もないと思ってまじまじと観察してしまいました。,,,
サカラウ,3,仕方がないんだ、ゼノイラには逆らえないのだから。,,,
ソダテ,3,そして、ユニフィの育ての親でもある。,,,
シモ,3,犠牲になっていい命なんてない誰しも生きたいのよでも。,,,
クンクン,3,くんくんくん。,,,
ヒタムキ,3,モニカ解放軍での功績が認められノルトハイム家は以前の権威を取り戻した彼女の高潔さとひたむきな姿勢は領民の支持を受け、敬愛する祖父を亡くしたあとも領主として見事に手腕を発揮した多忙の中でも、臣下たちと星空を見る催しを開き労をねぎらうことを忘れなかったという。,,,
マガマガシイ,3,あの禍々しい淀み我々を陥れた支配の術によるものかと。,,,
オクリコム,3,グロスタは東の門近辺に陣取って村に兵を送り込む気だ。,,,
コナ,3,ヒルダ戦が終わると、武器を置き今なお疫病に苦しむ人々を救うため薬学を学ぶ努力の末に薬師になった彼女は、妹プリムと手を取り合い、身を粉にして病と向き合った後年、多くの人々を救った彼女は妹と飛竜と共に歴史書に記されたという。,,,
イレイ,3,ベルトラン戦後は村々の復興を手伝い、それが落ちつくと先の戦で命を落としたすべての魂のためバストリアスの各地に慰霊碑を建てる毎年、終戦を記念する日には慰霊碑に多くの花束が手向けられその香りが国中を包んだという。,,,
シュットウ,3,ガレリウス陛下への手土産どころか出頭命令など応じる必要もなくなる。,,,
ネゴト,3,ロザリンデ、寝言を呟いていたぞ。,,,
ドウドウ,3,堂々としててかっこよかったし王冠も似合ってた。,,,
ザコ,3,かかってこい反乱軍の雑魚どもが。,,,
ウーリー,3,港町ウーリール。,,,
クイアラタメル,3,その非道を悔い改めるならば今すぐ降伏しなさい。,,,
トック,3,俺ら、岩鼠団に拾われなきゃとっくに野垂れ死んでるんだ。,,,
チエ,3,そこに言葉も知恵も命もあるのにそれ以上何を求めて人は争うのかしら。,,,
サンゲキ,3,今後は二度と、あのような惨劇が起こらぬように。,,,
オモイエガク,3,エルトリンデ様の思い描く異種族間の絆。,,,
ホレグスリ,3,あの町、魔女が作ったという惚れ薬が流行っているそうね。,,,
イダク,3,この戴冠式を経た者も皆同じ思いを抱くといいですね。,,,
テンデ,3,ああいった敵は頑丈だけど魔法にはてんで弱い。,,,
ジュンカイ,3,この島は残った俺たちが守ります巡回は任せてください。,,,
チョウゴウ,3,薬と材料、調合方法をあとで町の僧侶にも伝えておくわ。,,,
マイシュウ,3,コルニアの料理っておいしいのよねこれなら毎週食べたいくらい。,,,
クイル,3,ゼノイラに与したことを悔いているのなら弓を下ろせ。,,,
シソン,3,砂漠は昔、罪人の流刑地だったこの地に住む者の大半はその子孫だ。,,,
ケンジツ,3,寿命が長いから、未来のために堅実に頑張れそんな話を書くと思ってたよ。,,,
シゲン,3,おそらく奴らの狙いは資源ではないのだろう。,,,
フクソウ,3,服装くらい大目に見てほしいもんさね。,,,
シンシ,3,ルノーかつてゼノイラに操られ、領主として民を苦しめた町に戻ることを自ら望む彼を許せない者もいたが汚名も悪評もすべてを受け入れる彼の真摯な態度に、少なくない数の人々が支持をした民と共に一から歩む決心をした彼は過去ではなく未来を見据える良き指導者となった。,,,
エイエン,3,その口を永遠に閉ざしてやりたいが。,,,
ヤサイ,3,コイツらは火を通すだけでイイよ肉でも野菜でも齧り付けばいいからね。,,,
キュウサイ,3,たしかに私は君と契約したが世界救済を成し遂げたのは君だ。,,,
ヒメル,3,獣人を制御する力を秘めた石ですね。,,,
ヒキョウ,3,ハッタリか目眩ましとは卑怯な。,,,
オテンバ,3,ニーナ終戦後、一度家族のもとへ戻った彼女に妹は喜び、両親は娘の無事に安堵した家族と和解したあとは、再び家を飛び出し仲間たちと世界各地で人助けに励むその姿は名家の出のお転婆騎士として有名になり行く先々で握手を求められたという。,,,
ブツケル,3,ふっ、バリケードなんかこいつをぶつけりゃ一発だろ。,,,
テツ,3,鉄ではないな、石っぽいがこんな石材触ったことがねえ。,,,
ニクシミ,3,無論、世迷言ですが体を取り戻した今では奴らへの憎しみしかありません。,,,
ビケイ,3,やっぱりヒルダの飛竜すっっごく美形だね。,,,
ケイアイ,3,モニカ解放軍での功績が認められノルトハイム家は以前の権威を取り戻した彼女の高潔さとひたむきな姿勢は領民の支持を受け、敬愛する祖父を亡くしたあとも領主として見事に手腕を発揮した多忙の中でも、臣下たちと星空を見る催しを開き労をねぎらうことを忘れなかったという。,,,
ハゲマス,3,城下の様子を見て励まされたな。,,,
キョウカン,3,実は、当時の教官が私は大層恐ろしかったのですが。,,,
サイリョウ,3,殿下、私が戦いを回避する裁量を持ち合わせているとでも。,,,
チョックラ,3,あんたが持ってるバカデッカい剣ちょっくら見せてくんねえか。,,,
ハルバル,3,はるばる砂漠を越えてきたってのに何も見つからねぇなぁ。,,,
カワイソウ,3,断ったのですかそれは可哀想に。,,,
ミスエル,3,今後はもっと先のより平穏な世を見据えてお役に立ちたいと思います。,,,
ヤキ,3,金で動く傭兵がこんなこと思うなんて俺も随分と焼きが回ったもんだぜ。,,,
アカゴ,3,生まれたての赤子みたいな人間に何がわかると思うかもしれないけど。,,,
ホンソウ,3,アラミス終戦後、ギルベルトの戴冠式を見届けると王都を離れ、自分のやり方で弟を助けると誓う身分を偽るのはもはや堂に入ったもので傭兵、役者、船乗りと変幻自在に姿を変え国の再興のために各地を奔走した後に記されたドラケンガルドの再興物語には何人ものアラミスという男の話が残されている。,,,
タマウ,3,だが安心するといい一角獣の守護は我らを守り給う。,,,
ハイリョ,3,軍にいる間、貴殿が配慮してくれていたことはそれで伝わってきた。,,,
バッ,3,じっちゃんばっちゃん。,,,
メエ,3,メェーッ。,,,
フガイナイ,3,解放軍からの支援を受けるなんて不甲斐ない。,,,
ゼイゼイ,3,ぜえぜえ。,,,
ヤリテ,3,若い女性と聞きますがなかなかやり手のようです。,,,
ツメタイ,3,わっアレインの手すっごく冷たいね。,,,
タチヨル,3,近くに来たときはぜひ立ち寄ってください。,,,
オオゲサ,3,というのは、大袈裟でしょうかふふ。,,,
ヒトサライ,3,おそらく人さらいね闇市で売りさばくつもりかも。,,,
コウゾク,3,後続部隊、続け。,,,
スナアビ,3,この子に砂浴びをさせているんですよ。,,,
ココチ,3,俺はそれが、心地いいとわかる。,,,
トキフセル,3,それを生半可な説得で説き伏せるのは難しいと思う。,,,
ハカ,3,これからは団長らの墓を守って生きていくさ。,,,
ザレゴト,3,獣に王は務まらぬなどと戯言を抜かしていたな。,,,
シタッパ,3,俺ら下っ端を処刑しなかったことには素直に感謝するぜ。,,,
ヨウズミ,3,戦闘でその効果が実証された今お前はもう用済みということだ。,,,
オシミナイ,3,プリム戦のあとも、戦乱で疲弊した人々を思い各地で惜しみない奉仕活動を行う姉ヒルダが薬学の道に勤しむとそれを激励し、大いに助けた病に苦しむ人々を介抱した彼女に正教会から名誉天使の称号が贈られたが彼女は丁重に断ったという。,,,
ヒヤカシ,3,冷やかしならどっか行ってろ。,,,
ソマル,3,どうやら本当にゼノイラ軍に染まったらしいな。,,,
モヨオシ,3,友好国にも施設があれば、国を越えて競い合う催しができるのではと。,,,
ゲキタイ,3,行けあいつらを撃退しろ。,,,
スナハマ,3,イレニア様と、この砂浜をこうして歩いたことを思い出します。,,,
ウチコム,3,ウメルス戦後、騎士として教会を守る傍ら植物の研究と花園作りに打ち込む彼女の手掛けた美しい花園は後にアルビオンの新たな名所として注目された花園にスカーレットを招き二人で昔を懐かしむこともあったという。,,,
ブシツケ,3,不躾なお願いなのですが30私と手合わせ願えないでしょうか。,,,
クシ,3,それでもこんなに綺麗なら、櫛でとけばもっとふわふわになりそうだね。,,,
モクゲキ,3,話すこともままならない野良の獣人が目撃されてる。,,,
サワガシイ,3,騒がしいのは好まないが、お前の晴れ舞台の延長だと思えば悪くない。,,,
ハヤク,3,はやく帰らないと。,,,
エンチョウ,3,騒がしいのは好まないが、お前の晴れ舞台の延長だと思えば悪くない。,,,
ホガラカ,3,スカーレット終戦後、新教皇の座をサナティオに譲るとパレィア島の一司祭に戻る決して大きくない島の聖堂には正教会を正し、アルビオンを救った彼女の教えを聞きたいという信徒の訪問が尽きなかった教会の庭では黒鎧の男と天使の青年、三人で朗らかに語らう姿が見られることもあったという。,,,
ワンリョク,3,あの毛皮と腕力が羨ましくてたまらねえよ。,,,
セッショク,3,なんにせよ、一度様子は窺いたい奴と接触できたら話をさせてくれ。,,,
ジュン,3,アクティブは18行動順が回ってきたときパッシブは18条件が成立したとき。,,,
チカラヅヨイ,3,メリザンド国に平穏が訪れると、副官の目をかいくぐりコルニア王に求婚するべく日々王宮に通った彼女の願いが叶うことはなかったが王宮晩餐会で披露する彼女の剣舞はその美しさと力強さから評判となり多くの賓客の心を奪ったという。,,,
ウナズク,3,急だったし私もすぐに頷きたかったし。,,,
キンリン,3,近隣の村の話ですが盗賊団に連れ去られる者がいると耳にしました。,,,
アリカ,3,ってあんたもクラスチェンジ経験ありか。,,,
チョウコク,3,んこの彫刻。,,,
サイシン,3,王都グランコリヌ攻略前の状態に戻りますがよろしいですか編成、装備などは最新の状態が維持されます。,,,
リテン,3,まぁ今頃あんたに盾突く利点はねぇし安心して王政に努めてくだせぇ。,,,
ヤクガク,3,タチアナ戦後、疫病の再流行に備え医学の知見を得るべく世界中を旅する信仰は病を救わないと正教会を遠ざけていたが各地の教会にこそ、医術、看護、薬学が実践とともに根付いていることに気づき、考えを改めるコルニアに戻ると、国王に招かれて研究を続けその成果は、後世の疫病対策の基盤となった。,,,
6,3,残りの必要な天のかけら6個。,,,
タンメイ,3,短命種であるからこそ、あれほどの多様な技が生まれたのか。,,,
ユウレイ,3,死んだはずの兄が歩いていたあの兄は幽霊なのでしょうか。,,,
オオムカシ,3,この辺りには大昔に滅亡した国があったらしい。,,,
フントウ,3,グロスタ終戦からしばらく後、ギルベルトより砂漠一帯を束ねる領主に任命される再び砂漠の民の生活改善のためオーバンたちと協力し権威側からの働きかけに奮闘したその慈愛と義理堅さから砂漠の民に親しまれ没後には砂漠に彼を称える騎馬像が建立された。,,,
コムスメ,3,破城槌だとあの小娘らの仕業か。,,,
ミアタル,3,ふふ、もしかして私の姿が見当たらなくて心配でもしたかい。,,,
ユウギ,3,あれは何が原因だったかそうだたしか、盤上遊戯をしていた時だ。,,,
カイゼン,3,収容所の待遇は改善されたそうですが兄は戻りません。,,,
ウツル,3,これも旦那のせいだなアンタのお人好しが移っちまった。,,,
ソクメン,3,木々に紛れ側面から攻めるつもり。,,,
パッシブ,3,スキルにはアクティブとパッシブ二系統のスキルがあると思うが。,,〜な 〔受け身の〕 passive.,
ツマビラカ,3,ナイジェル様に続け真実をつまびらかにするのだ。,,,
バンジョウ,3,あれは何が原因だったかそうだたしか、盤上遊戯をしていた時だ。,,,
アクティブ,3,スキルにはアクティブとパッシブ二系統のスキルがあると思うが。,・アクティブなウインドー[プログラム],1 〜な 〔活動的な〕 active.,電算
トウブ,3,それではコルニアの東部にあるへ向かいましょう。,,,
キキズテ,3,き、聞き捨てならないことを言うないくら食べたって忘れるもんか。,,,
センジツ,3,私どもに迷惑がかかる前にと先日出ていかれました。,,,
ブライト,3,フェブライトを持っていないのか闘技場の景品や採掘でも手に入るぞ。,ブライト・ウィグナーのこうしき,【物】 〔共鳴散乱などの〕 the Breit-Wigner formula.,ブライト・ウィグナーの公式
サマタゲル,3,この先、バリケードが進行を妨げております。,,,
エダ,3,あの枝のところに鳥の巣があるでしょう。,,,
ヤタラ,3,装備がやたらと重い交代まで耐えるとか地獄だぜ。,,,
セイジ,3,王様は玉座で心置きなく政治ってのをやってくれたらいいさ。,,,
ケンマ,3,この硬度の原石を切削、研磨できる技術手加工も見事なもんだ。,,,
シメル,3,そのバストリアスの人口の多くは獣人で占められています。,,,
ジンシン,3,人心を操る、妖術。,,,
サカイ,3,かの日を境に私めも意識を失っておりました。,,,
カチトル,3,いや、君は並々ならぬ努力でこの平和を勝ち取ったのだよな。,,,
ジンコウ,3,そのバストリアスの人口の多くは獣人で占められています。,,,
オト,3,アレイン様と契約をした時本音を言うと不安な部分もありました。,,,
メイクン,3,戦いだけでなく復興にも目を配れる殿下には間違いなく名君の資質がある。,,,
ズク,3,そうだ、奴を止める以外に平穏を守る術はない、たとえ力ずくでも。,,,
ナガメ,3,どの景色も素晴らしいものでしたがここからの眺めも見事です。,,,
イツワル,3,なぜ、誰も解放を望んでいないなどと偽ったんだ。,,,
シエキ,3,聞けばゼノイラは一部で賊まで使役しているようです。,,,
キョウコ,3,強固な要塞につけ入る隙があるとすれば、そこかもしれません。,,,
ダッ,3,だっ、誰なの。,,,
タイテイ,3,たいていの人はね。,,,
シハラウ,3,ただし、利用料は支払ってくださいね彼らの生活もありますから。,,,
カイジョウ,3,海上はまだゼノイラ軍がいるから船はまだ出せないんじゃないかしら。,,,
メジルシ,3,何か一目でベルトラン殿とわかる目印があると良いのですが。,,,
セイエイ,3,誓って、いざ決戦の折りには我が国の精鋭も駆けつけさせよう。,,,
フトウ,3,万夫不当の君が傍にいたのだ勝利も必然か。,,,
ハサン,3,ううそうなんです、おいしい物の食べすぎで破産しかけていて。,,,
ナゴリオシイ,3,このまま帰るには名残惜しくてな。,,,
カコウ,3,この硬度の原石を切削、研磨できる技術手加工も見事なもんだ。,,,
8,3,残りの必要な天のかけら8個。,,,
アイニク,3,その間に眼も耳も悪くなった今も生憎の雨、前がよく見えぬ。,,,
サケノミ,3,アデル戦いが終わり騎士団領に戻ると騎士、平民を問わず多くの人々に祝福された明るく屈託のない彼は人気者で、警備のため町に出ると、昼は子供に手を引かれ遊び相手をし夜は酒飲みに付き合って酔い潰れる日々を送った領民に最も親しまれる名物騎士としていつまでも愛されたという。,,,
イマワシイ,3,陛下の前では、私はあの忌まわしき十年に囚われずにおれました。,,,
ヒョウスル,3,お前たちには敬意を表しよう。,,,
キレル,3,なるほどあの娘たちは無事逃げ切れたのか。,,,
シュウトク,3,新たなスキルを追加修得可能になるし能力の伸び幅も高くなるの。,,,
テンカン,3,気分転換。,,,
クワ,3,クワックワッ。,,,
ガテラ,3,探しがてら、各地の復興にも手を貸そうと思ってる。,,,
コドウ,3,どうにも鼓動が高まって落ちつかなくて。,,,
コンキアージ,3,コンキアージの町。,,,
ムジャキ,3,私は幼くとも立場は理解していた無邪気に戯れることはできんよ。,,,
ショウサン,3,ゼノイラ軍に与した将が操られているのだとしたら勝算はある。,,,
バシャ,3,よし、向こう側の馬車に乗り込めゼノイラ軍がお前の新しい飼い主だ。,,,
ケイキ,3,最近は兵士の出入りが多くて景気がいいんだ。,,,
