sentence,cleaned_sentence
それはかつて エルフによって精製された魔石だ。,それはかつてエルフによって精製された魔石だ。
エルフがバストリアスにも…。,エルフがバストリアスにも。
その時代、各地を侵略した 古代ゼノイラ帝国に対して。,その時代、各地を侵略した古代ゼノイラ帝国に対して。
神樹に守られたエルフは 不干渉を貫いていた。,神樹に守られたエルフは不干渉を貫いていた。
だが、バストリアスの森に住む エルフはそうはいかなかった。,だが、バストリアスの森に住むエルフはそうはいかなかった。
そこで強力な魔石を精製し 自らを獣人と化して戦ったのだ。,そこで強力な魔石を精製し自らを獣人と化して戦ったのだ。
そういうことだったのか なんとも因果な石だな…。,そういうことだったのかなんとも因果な石だな。
作用を逆転させ 元に戻ることはできたようだ。,作用を逆転させ元に戻ることはできたようだ。
しかし…その術は すでに失われている。,しかしその術はすでに失われている。
もう時間が無い… 一角獣の指輪に浄化の力を授けよう。,もう時間が無い一角獣の指輪に浄化の力を授けよう。
聖所に蓄えられたこの力で ガレリウスの野望を止めるのだ。,聖所に蓄えられたこの力でガレリウスの野望を止めるのだ。
これで我が力は汝らと共に…。,これで我が力は汝らと共に。
指輪の力が強くなったのを感じるわ。,指輪の力が強くなったのを感じるわ。
一角獣の指輪を持つものよ すべての聖所を巡るのだ。,一角獣の指輪を持つものよすべての聖所を巡るのだ。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
すべての聖所を巡り終えた今 その指輪は完全なものとなった。,すべての聖所を巡り終えた今その指輪は完全なものとなった。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
それで人が獣人に… でも元の姿にも戻れたんだよね？。,それで人が獣人にでも元の姿にも戻れたんだよね。
もう元に戻る方法は わからないんだ…。,もう元に戻る方法はわからないんだ。
支配の術？お主が言っているのは おそらく降霊術のことであろうが…。,支配の術お主が言っているのはおそらく降霊術のことであろうが。
人とかけ離れた存在である獣人に 降霊術は通じない。,人とかけ離れた存在である獣人に降霊術は通じない。
ゆえに、その青い石が持つ 獣人制御の力に目を付けたのだろう。,ゆえに、その青い石が持つ獣人制御の力に目を付けたのだろう。
かつて苦戦を強いてきた獣人の力を 我が物とするためにな。,かつて苦戦を強いてきた獣人の力を我が物とするためにな。
これはドラマデバッグでのみ表示されるダイアログです 最後の聖所？。,これはドラマデバッグでのみ表示されるダイアログです最後の聖所。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
指輪の封印を解き 真の力を得たようだな…。,指輪の封印を解き真の力を得たようだな。
聖所の賢人よ。,聖所の賢人よ。
貴方はガレリウスに対抗するために 指輪の封印を解く必要があると言った。,貴方はガレリウスに対抗するために指輪の封印を解く必要があると言った。
そして、再び聖所を訪れよ…と それはなぜだ？。,そして、再び聖所を訪れよとそれはなぜだ。
聖所が長い時を経て蓄えた 浄化の力を指輪に与えるためだ。,聖所が長い時を経て蓄えた浄化の力を指輪に与えるためだ。
指輪の真の力だけでは 対抗できないということか。,指輪の真の力だけでは対抗できないということか。
ガレリウスを完全に倒すには ゼノイラ人たちの魂を救う必要がある。,ガレリウスを完全に倒すにはゼノイラ人たちの魂を救う必要がある。
ゼノイラはかつて一夜にして滅んだ 古代の王国…なぜその民の魂を？。,ゼノイラはかつて一夜にして滅んだ古代の王国なぜその民の魂を。
…ゼノイラ人はある儀式が原因で 肉体を失い魂だけの存在になった…。,ゼノイラ人はある儀式が原因で肉体を失い魂だけの存在になった。
外界に干渉できずただ空を漂い続ける その苦しみは想像を絶した…。,外界に干渉できずただ空を漂い続けるその苦しみは想像を絶した。
心の弱い者は狂気に取り憑かれ やがて悪霊となる者も現れた。,心の弱い者は狂気に取り憑かれやがて悪霊となる者も現れた。
その者たちの魂を眠らせ、幽世に 封じるため作られたのが…この聖所だ。,その者たちの魂を眠らせ、幽世に封じるため作られたのがこの聖所だ。
それをガレリウスが お父様や私を使って破壊した…。,それをガレリウスがお父様や私を使って破壊した。
そうだ…奴は幽世と現世を 断絶する封印を破壊した。,そうだ奴は幽世と現世を断絶する封印を破壊した。
今ならば幽世と現世を つなぐ道を開くこともできるであろう。,今ならば幽世と現世をつなぐ道を開くこともできるであろう。
ガレリウスはゼノイラ人たちの魂を 現世に呼び戻すつもりなのか…。,ガレリウスはゼノイラ人たちの魂を現世に呼び戻すつもりなのか。
悪霊と化した魂が解き放たれれば 大きな災いとなろう。,悪霊と化した魂が解き放たれれば大きな災いとなろう。
だが、ゼノイラ人たちの魂を 救済することが聖所の持つ本当の役目。,だが、ゼノイラ人たちの魂を救済することが聖所の持つ本当の役目。
この聖所に蓄えられた浄化の力が 必ず汝らの力になるはずだ。,この聖所に蓄えられた浄化の力が必ず汝らの力になるはずだ。
これで我が力は汝らと共に…。,これで我が力は汝らと共に。
指輪の力が強くなったのを感じるわ。,指輪の力が強くなったのを感じるわ。
一角獣の指輪を持つものよ すべての聖所を巡るのだ。,一角獣の指輪を持つものよすべての聖所を巡るのだ。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
すべての聖所を巡り終えた今 その指輪は完全なものとなった。,すべての聖所を巡り終えた今その指輪は完全なものとなった。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
これはドラマデバッグでのみ表示されるダイアログです 最後の聖所？。,これはドラマデバッグでのみ表示されるダイアログです最後の聖所。
なぜ聖所に同行を？。,なぜ聖所に同行を。
私に支配の術をかけた バルトロのことが知りたくてな。,私に支配の術をかけたバルトロのことが知りたくてな。
他に聞きたいこともある。,他に聞きたいこともある。
もうひとつ聞きたい 私が着ている鎧についてだ。,もうひとつ聞きたい私が着ている鎧についてだ。
聞いた話だが、アルビオンが ゼノイラに攻められた際…。,聞いた話だが、アルビオンがゼノイラに攻められた際。
教皇がこれと似た鎧を聖所から 運び出しナイジェルに与えたらしい。,教皇がこれと似た鎧を聖所から運び出しナイジェルに与えたらしい。
この聖所にはまだ使える 古代の貴重な武具は無いのか？。,この聖所にはまだ使える古代の貴重な武具は無いのか。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
よくぞ来た…。,よくぞ来た。
聖所の賢人よ 私の質問に答えてもらおう。,聖所の賢人よ私の質問に答えてもらおう。
ガレリウスに協力している バルトロという魔術師…。,ガレリウスに協力しているバルトロという魔術師。
あの男は何者なんだ？。,あの男は何者なんだ。
天才魔術師…そう呼ぶのがふさわしい 稀な才能を持つ魔術師だった。,天才魔術師そう呼ぶのがふさわしい稀な才能を持つ魔術師だった。
だが、およそ常識や倫理観を 持ち合わせていない男でもあった。,だが、およそ常識や倫理観を持ち合わせていない男でもあった。
禁忌を踏み越えた術も多く考案し… 降霊術もそのひとつだ。,禁忌を踏み越えた術も多く考案し降霊術もそのひとつだ。
バルトロもその術で 誰かの体を乗っ取っているのか？。,バルトロもその術で誰かの体を乗っ取っているのか。
バルトロ自身は 降霊術に頼る必要はない。,バルトロ自身は降霊術に頼る必要はない。
バルトロを除いたゼノイラ人の魂は 聖所に封じられたが。,バルトロを除いたゼノイラ人の魂は聖所に封じられたが。
奴はゼノイラの滅亡後も長い時をかけ 現世に自らの実体を編み出したのだ。,奴はゼノイラの滅亡後も長い時をかけ現世に自らの実体を編み出したのだ。
古代ゼノイラ人の 生き残りというわけか。,古代ゼノイラ人の生き残りというわけか。
だが、バルトロは封印されている魂を どうやって呼び出したんだ？。,だが、バルトロは封印されている魂をどうやって呼び出したんだ。
転の結晶を触媒とすることで 聖所の封印を超えて魂を呼び出し…。,転の結晶を触媒とすることで聖所の封印を超えて魂を呼び出し。
降霊術で 生きた体に魂を乗り移らせた。,降霊術で生きた体に魂を乗り移らせた。
あのような離れ業は バルトロでなければ不可能であろう。,あのような離れ業はバルトロでなければ不可能であろう。
触媒が必要だったのか…。,触媒が必要だったのか。
でも、転の結晶って何かしら… 聞いたことがないわ。,でも、転の結晶って何かしら聞いたことがないわ。
貴重な触媒で、呼び出せる魂には 限りがあったのかもしれんな…。,貴重な触媒で、呼び出せる魂には限りがあったのかもしれんな。
そうでなければ手当たり次第に 降霊術を使わない理由がない。,そうでなければ手当たり次第に降霊術を使わない理由がない。
たしかにそうだ…。,たしかにそうだ。
残念だが、聖所に保管された 武具はすべて持ち出されてしまった。,残念だが、聖所に保管された武具はすべて持ち出されてしまった。
だが、聖所には蓄えられた 浄化の力がある。,だが、聖所には蓄えられた浄化の力がある。
必ず汝らの力になるはずだ。,必ず汝らの力になるはずだ。
これで我が力は汝らと共に…。,これで我が力は汝らと共に。
指輪の力が強くなったのを感じるわ。,指輪の力が強くなったのを感じるわ。
一角獣の指輪を持つものよ すべての聖所を巡るのだ。,一角獣の指輪を持つものよすべての聖所を巡るのだ。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
すべての聖所を巡り終えた今 その指輪は完全なものとなった。,すべての聖所を巡り終えた今その指輪は完全なものとなった。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
これはドラマデバッグでのみ表示されるダイアログです 最後の聖所？。,これはドラマデバッグでのみ表示されるダイアログです最後の聖所。
アレイン様 無理を言って申し訳ありません。,アレイン様無理を言って申し訳ありません。
…聖所について 知っておきたいことがあるのです。,聖所について知っておきたいことがあるのです。
構わない 賢人に聞いてみよう。,構わない賢人に聞いてみよう。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
そこにいるのは… エルヘイムの巫女か。,そこにいるのはエルヘイムの巫女か。
一角獣の指輪が 真の力を取り戻せたのは。,一角獣の指輪が真の力を取り戻せたのは。
汝らエルフが契約の儀式を 伝承してきたからであろう。,汝らエルフが契約の儀式を伝承してきたからであろう。
ご苦労であった…。,ご苦労であった。
とんでもございません 賢人様。,とんでもございません賢人様。
ひとつ、私から質問がございます。,ひとつ、私から質問がございます。
聖所が建てられた目的とは なんなのでしょうか？。,聖所が建てられた目的とはなんなのでしょうか。
聖所はゼノイラのさまよえる魂を 鎮めるために建てられたものだ。,聖所はゼノイラのさまよえる魂を鎮めるために建てられたものだ。
ゼノイラのさまよえる魂… なぜゼノイラは滅んだのですか？。,ゼノイラのさまよえる魂なぜゼノイラは滅んだのですか。
ゼノイラ帝国が滅びた理由は ある傲慢な試みに起因する…。,ゼノイラ帝国が滅びた理由はある傲慢な試みに起因する。
それは、一角獣を儀式の贄とし 不死の力を得ようとするものであった。,それは、一角獣を儀式の贄とし不死の力を得ようとするものであった。
なんだって…ゼノイラが滅んだのは 一角獣の力が原因なのか？。,なんだってゼノイラが滅んだのは一角獣の力が原因なのか。
そうだ 一角獣による浄化の力を利用し。,そうだ一角獣による浄化の力を利用し。
永遠の命を我がものにせんとする ゼノイラの魔術師による実験の結果だ。,永遠の命を我がものにせんとするゼノイラの魔術師による実験の結果だ。
一角獣による浄化の力…その本質は 穢れを許さぬ苛烈な純粋さにある。,一角獣による浄化の力その本質は穢れを許さぬ苛烈な純粋さにある。
邪なものがそれを制御し 利用せんとする行為は。,邪なものがそれを制御し利用せんとする行為は。
そもそもが力の性質に反していた。,そもそもが力の性質に反していた。
一角獣の憤怒の力は凄まじく ゼノイラ人は一角獣の呪いを受け…。,一角獣の憤怒の力は凄まじくゼノイラ人は一角獣の呪いを受け。
生きながらにして肉体を失い さまよえる魂となったのだ。,生きながらにして肉体を失いさまよえる魂となったのだ。
そんな…。,そんな。
だが、皮肉なことに 儀式は成功していた。,だが、皮肉なことに儀式は成功していた。
惨劇の跡には… 一角獣と心を通わせた。,惨劇の跡には一角獣と心を通わせた。
一人の少女が残されていたのだ。,一人の少女が残されていたのだ。
少女は悪霊と化したゼノイラの… さまよえる魂を鎮めるため。,少女は悪霊と化したゼノイラのさまよえる魂を鎮めるため。
アルビオンの教皇やエルフと協力し 各地に聖所を作った。,アルビオンの教皇やエルフと協力し各地に聖所を作った。
そして彼女は彼女を慕う人々をまとめ コルニア王国の初代女王となったのだ。,そして彼女は彼女を慕う人々をまとめコルニア王国の初代女王となったのだ。
ゼノイラ人の魂を封印した後 彼女は望まず得たその力を手放した。,ゼノイラ人の魂を封印した後彼女は望まず得たその力を手放した。
その身に宿した力を二つに分け 指輪に込めることでな…。,その身に宿した力を二つに分け指輪に込めることでな。
一角獣の指輪と…。,一角獣の指輪と。
乙女の指輪ですね。,乙女の指輪ですね。
一角獣の指輪が使えるのは 俺がコルニア王家の人間だからなのか。,一角獣の指輪が使えるのは俺がコルニア王家の人間だからなのか。
乙女と一角獣… 心を通わせた彼女らに倣い。,乙女と一角獣心を通わせた彼女らに倣い。
契約の儀を執り行うことで 本来の力を呼び戻すことができる。,契約の儀を執り行うことで本来の力を呼び戻すことができる。
今ならば聖所に蓄えられた浄化の力が 必ず汝らの力になるはずだ。,今ならば聖所に蓄えられた浄化の力が必ず汝らの力になるはずだ。
これで我が力は汝らと共に…。,これで我が力は汝らと共に。
指輪の力が強くなったのを感じるわ。,指輪の力が強くなったのを感じるわ。
一角獣の指輪を持つものよ すべての聖所を巡るのだ。,一角獣の指輪を持つものよすべての聖所を巡るのだ。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
すべての聖所を巡り終えた今 その指輪は完全なものとなった。,すべての聖所を巡り終えた今その指輪は完全なものとなった。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
聖所に祈りの力を与えるわ。,聖所に祈りの力を与えるわ。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
封印を解いておらぬようだな… まだ指輪に力を与えることはできぬ。,封印を解いておらぬようだなまだ指輪に力を与えることはできぬ。
指輪が真の力を取り戻したら 再びここを訪れるがよい…。,指輪が真の力を取り戻したら再びここを訪れるがよい。
まだ聖所に来ても駄目みたいね…。,まだ聖所に来ても駄目みたいね。
残念だが そのようだ。,残念だがそのようだ。
指輪が真の力を取り戻したら またここに戻ってくるとしよう。,指輪が真の力を取り戻したらまたここに戻ってくるとしよう。
だが、聖所の賢人は指輪に真の力を 取り戻せと言っていた。,だが、聖所の賢人は指輪に真の力を取り戻せと言っていた。
なるほど…その指輪の力も 何か関係がありそうですね…。,なるほどその指輪の力も何か関係がありそうですね。
それなら…今、聖所に行っても 意味がないかもしれないわね。,それなら今、聖所に行っても意味がないかもしれないわね。
ああ、そうしよう。,ああ、そうしよう。
スカーレット様 聖所に向かわれるとお聞きしました。,スカーレット様聖所に向かわれるとお聞きしました。
ええ。,ええ。
父には救世主を見つけたら 聖所に向かうよう言われていたの。,父には救世主を見つけたら聖所に向かうよう言われていたの。
たとえ壊されていたとしても 行ってみるわ。,たとえ壊されていたとしても行ってみるわ。
教皇様から受け継がれたその杖には 特別な力が宿っています。,教皇様から受け継がれたその杖には特別な力が宿っています。
貴女様とその杖ならば聖所に再び力を 与えることができるかもしれません。,貴女様とその杖ならば聖所に再び力を与えることができるかもしれません。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
封印を解いておらぬようだな… まだ指輪に力を与えることはできぬ。,封印を解いておらぬようだなまだ指輪に力を与えることはできぬ。
指輪が真の力を取り戻したら 再びここを訪れるがよい…。,指輪が真の力を取り戻したら再びここを訪れるがよい。
封印を解いておらぬようだな… まだ指輪に力を与えることはできぬ。,封印を解いておらぬようだなまだ指輪に力を与えることはできぬ。
指輪が真の力を取り戻したら 再びここを訪れるがよい…。,指輪が真の力を取り戻したら再びここを訪れるがよい。
封印を解いておらぬようだな… まだ指輪に力を与えることはできぬ。,封印を解いておらぬようだなまだ指輪に力を与えることはできぬ。
指輪が真の力を取り戻したら 再びここを訪れるがよい…。,指輪が真の力を取り戻したら再びここを訪れるがよい。
封印を解いておらぬようだな… まだ指輪に力を与えることはできぬ。,封印を解いておらぬようだなまだ指輪に力を与えることはできぬ。
指輪が真の力を取り戻したら 再びここを訪れるがよい…。,指輪が真の力を取り戻したら再びここを訪れるがよい。
封印を解いておらぬようだな… まだ指輪に力を与えることはできぬ。,封印を解いておらぬようだなまだ指輪に力を与えることはできぬ。
指輪が真の力を取り戻したら 再びここを訪れるがよい…。,指輪が真の力を取り戻したら再びここを訪れるがよい。
それなら…今、聖所に行っても 意味がないかもしれないわね。,それなら今、聖所に行っても意味がないかもしれないわね。
これはドラマデバッグでのみ表示されるダイアログです 最後の聖所？。,これはドラマデバッグでのみ表示されるダイアログです最後の聖所。
一角獣の指輪を持つものよ… 指輪を出すがよい。,一角獣の指輪を持つものよ指輪を出すがよい。
ガレリウスの野望を止めるため 今こそ我が力を託そう。,ガレリウスの野望を止めるため今こそ我が力を託そう。
聖所の賢人よ。,聖所の賢人よ。
ガレリウスはゼノイラの皇帝を 名乗っているが、それは本当か？。,ガレリウスはゼノイラの皇帝を名乗っているが、それは本当か。
…事実だ 奴は危険な男。,事実だ奴は危険な男。
そもそもゼノイラ人はこの フェブリスとは異なる大陸の民。,そもそもゼノイラ人はこのフェブリスとは異なる大陸の民。
他に大陸があるなんて 聞いたことがないわ…。,他に大陸があるなんて聞いたことがないわ。
きわめて高度な魔法技術を誇り 隆盛を極めたゼノイラだったが。,きわめて高度な魔法技術を誇り隆盛を極めたゼノイラだったが。
後継者を巡って内乱が勃発 魔術の応酬で戦いは泥沼と化し…。,後継者を巡って内乱が勃発魔術の応酬で戦いは泥沼と化し。
ガレリウスが勝利した時には ゼノイラは人の住めぬ地となっていた。,ガレリウスが勝利した時にはゼノイラは人の住めぬ地となっていた。
空虚な王位になるかと思われたが ガレリウスは諦めていなかった。,空虚な王位になるかと思われたがガレリウスは諦めていなかった。
生き残ったゼノイラ人を従え フェブリスへの侵攻を開始したのだ。,生き残ったゼノイラ人を従えフェブリスへの侵攻を開始したのだ。
古代ゼノイラ帝国は 外の大陸から来た侵略者だったのね…。,古代ゼノイラ帝国は外の大陸から来た侵略者だったのね。
当時のフェブリスにも小国はあったが ゼノイラとの力の差は歴然。,当時のフェブリスにも小国はあったがゼノイラとの力の差は歴然。
神樹で守られたエルヘイムを除いて 瞬く間に各地は制圧された。,神樹で守られたエルヘイムを除いて瞬く間に各地は制圧された。
異なるもの…？。,異なるもの。
それを名乗るヴァルモア将軍は 術で操られているのか。,それを名乗るァルモア将軍は術で操られているのか。
降霊術ならば、打ち倒すことで 降霊した魂はその身から消えよう。,降霊術ならば、打ち倒すことで降霊した魂はその身から消えよう。
だがあの者が纏う力から察するに ただ倒すだけでは済むまい…。,だがあの者が纏う力から察するにただ倒すだけでは済むまい。
とにかく奴をこのまま 思いどおりにさせてはならぬ。,とにかく奴をこのまま思いどおりにさせてはならぬ。
ガレリウスが本当に ゼノイラの皇帝であるなら…。,ガレリウスが本当にゼノイラの皇帝であるなら。
これで我が力は汝らと共に…。,これで我が力は汝らと共に。
指輪の力が強くなったのを感じるわ。,指輪の力が強くなったのを感じるわ。
一角獣の指輪を持つものよ すべての聖所を巡るのだ。,一角獣の指輪を持つものよすべての聖所を巡るのだ。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
すべての聖所を巡り終えた今 その指輪は完全なものとなった。,すべての聖所を巡り終えた今その指輪は完全なものとなった。
来たるべき時 我らの力が汝らの助けとなろう。,来たるべき時我らの力が汝らの助けとなろう。
いや、あの禍々しい力… おそらくは異なるものだろう。,いや、あの禍々しい力おそらくは異なるものだろう。
今こそ浄化の力を託そう… 必ず汝らの力になるはずだ。,今こそ浄化の力を託そう必ず汝らの力になるはずだ。
アーマリアは加入済み？。,アーマリアは加入済み。
ゼノイラ皇帝ガレリウス。,ゼノイラ皇帝ガレリウス。
お前の野望は崩壊した ゼノイラ帝国は終わりだ。,お前の野望は崩壊したゼノイラ帝国は終わりだ。
…クク…。,クク。
…！？。,。
ならば力を寄越せ 此奴らから奪い取るまでよ。,ならば力を寄越せ此奴らから奪い取るまでよ。
このガレリウス 敗して語る言葉は持たぬ。,このガレリウス敗して語る言葉は持たぬ。
…止めを…刺すがいい。,止めを刺すがいい。
うっ…。,うっ。
グアアアア…。,グアアアア。
…ァア…ア…。,ァアア。
アレ…イン…。,アレイン。
イレニアと同じか…それよりも強い 一角獣の力を感じる。,イレニアと同じかそれよりも強い一角獣の力を感じる。
母…上…？。,母上。
イレニア様！ これは…いったい…。,イレニア様これはいったい。
体を失い、八百年もの間 虚空を漂い続けたゼノイラ百万の民…。,体を失い、八百年もの間虚空を漂い続けたゼノイラ百万の民。
母上！！。,母上。
そんな…母上…。,そんな母上。
コルニアに受け継がれる 一角獣の乙女の血…確かなようだな。,コルニアに受け継がれる一角獣の乙女の血確かなようだな。
自ら母を手にかけたか… アレイン！！。,自ら母を手にかけたかアレイン。
ガレリウス…？ ぐ…なんだ…。,ガレリウスぐなんだ。
うああっ。,うああっ。
フフ…ハハハハ！。,フフハハハハ。
で…殿下…。,で殿下。
愚かな… 母子揃って同じ結末を迎えるとはな。,愚かな母子揃って同じ結末を迎えるとはな。
…うっ。,うっ。
お前にこの体を 傷つけることはできまい。,お前にこの体を傷つけることはできまい。
それに…我を殺したところで 今度はお前が器になるだけのことだ。,それに我を殺したところで今度はお前が器になるだけのことだ。
そして今や指輪も 我が手にある…。,そして今や指輪も我が手にある。
なんと… なんということだ…。,なんとなんということだ。
ククク、悟ったか…。,ククク、悟ったか。
もはや何人たりとも このガレリウスを止めることは…。,もはや何人たりともこのガレリウスを止めることは。
できんのだ！。,できんのだ。
もう終わりだ… まもなく術が発動する。,もう終わりだまもなく術が発動する。
お前は我がゼノイラの民の 依り代にしてやろう。,お前は我がゼノイラの民の依り代にしてやろう。
諦めろ もう終わりだ。,諦めろもう終わりだ。
…グ…。,グ。
こ…この光は… 指輪か！？。,ここの光は指輪か。
なぜ指輪に これほどの力が…。,なぜ指輪にこれほどの力が。
グアアアアッ…。,グアアアアッ。
かっ体が…動かぬ… アレイン…！。,かっ体が動かぬアレイン。
おのれっ！ こっ…こんな…。,おのれっこっこんな。
こんな力は… 指輪には無かったはずだ！！。,こんな力は指輪には無かったはずだ。
ぬうううう！！。,ぬうううう。
こっ…これしきの…力！。,こっこれしきの力。
おおお… 皇帝たる我が…。,おおお皇帝たる我が。
もたぬ… 体が…崩れる…！。,もたぬ体が崩れる。
ウオオォォォアァァ！！。,ウオオォォォアァァ。
はぁ…はぁ…。,はぁはぁ。
母…上…？。,母上。
イレニア様！ これは…いったい…。,イレニア様これはいったい。
陛下…。,陛下。
母上！！。,母上。
１．ガレリウスに止めを刺す ２．ガレリウスの魂を解放する。,1ガレリウスに止めを刺す2ガレリウスの魂を解放する。
フェブリスの民を器とし ゼノイラ人の魂を現世に呼び戻す…。,フェブリスの民を器としゼノイラ人の魂を現世に呼び戻す。
お前の目的を 叶えさせるわけにはいかない。,お前の目的を叶えさせるわけにはいかない。
なぜそれを知っている…。,なぜそれを知っている。
哀れなゼノイラの亡者ガレリウスよ お前の魂を解放しよう。,哀れなゼノイラの亡者ガレリウスよお前の魂を解放しよう。
お前は… バルトロ！。,お前はバルトロ。
そうはさせん！。,そうはさせん。
くっ…。,くっ。
その魂の苦しみと無念 それが我が力…この体はその結晶！。,その魂の苦しみと無念それが我が力この体はその結晶。
ゼノイラの魂がある限り…。,ゼノイラの魂がある限り。
術式は完成したのか？。,術式は完成したのか。
皇帝に敗走はない！。,皇帝に敗走はない。
魂があとわずかに足りておりませぬ。,魂があとわずかに足りておりませぬ。
皇帝陛下…最後はあなたの魂で 術式は完成です。,皇帝陛下最後はあなたの魂で術式は完成です。
術式は完成し… 幽世と現世を繋ぐ門は開いた。,術式は完成し幽世と現世を繋ぐ門は開いた。
貴様…乱心したか！。,貴様乱心したか。
グアアァァ！！。,グアアァァ。
…母上！。,母上。
これもジョセフ 貴方が守ってくれたおかげです。,これもジョセフ貴方が守ってくれたおかげです。
…スカーレット 母上を安全な場所に。,スカーレット母上を安全な場所に。
アレイン殿下は どうされるのですか？。,アレイン殿下はどうされるのですか。
俺たちには やるべきことが残っている。,俺たちにはやるべきことが残っている。
二人とも…お気をつけください。,二人ともお気をつけください。
ぬああっ！。,ぬああっ。
ハハハ… ハハハハハハハ！！。,ハハハハハハハハハハ。
フフ…ハハハハ！。,フフハハハハ。
くっ… バルトロ…なんのつもりだ…。,くっバルトロなんのつもりだ。
ようやく手に入れた玩具だ 大事に思っておるよ…。,ようやく手に入れた玩具だ大事に思っておるよ。
一角獣の呪いで幽世に囚われた魂… これは生きたまま変換された霊体だ。,一角獣の呪いで幽世に囚われた魂これは生きたまま変換された霊体だ。
ゼノイラの民を復活させるんじゃ なかったのか。,ゼノイラの民を復活させるんじゃなかったのか。
グランコリヌ城。,グランコリヌ城。
まずはこの力で お主たちを始末してくれよう。,まずはこの力でお主たちを始末してくれよう。
ヴァルモアの姿が消えていく… どういうことだ。,ァルモアの姿が消えていくどういうことだ。
なんだと… 貴様…まだ生きているのか。,なんだと貴様まだ生きているのか。
アレインよ… 今こそ託した力を使うのだ…。,アレインよ今こそ託した力を使うのだ。
くっ…。,くっ。
ゼノイラの魂がある限り ワシは負けぬ。,ゼノイラの魂がある限りワシは負けぬ。
それはガレリウスの願いだ。,それはガレリウスの願いだ。
門を開かせるため 肉体を与え現世に繋ぎとめていたが…。,門を開かせるため肉体を与え現世に繋ぎとめていたが。
門が完全に開いたからには ガレリウスはもう必要ない。,門が完全に開いたからにはガレリウスはもう必要ない。
それに…ただの人間を復活させて なんの意味がある…？。,それにただの人間を復活させてなんの意味がある。
同胞の魂をなんだと 思っているんだ…。,同胞の魂をなんだと思っているんだ。
この力で滅びた魔物たちでも蘇らせ フェブリスの民と戦わせるとしよう。,この力で滅びた魔物たちでも蘇らせフェブリスの民と戦わせるとしよう。
一角獣の呪いを解き… すべてのゼノイラの魂を天へ還そう。,一角獣の呪いを解きすべてのゼノイラの魂を天へ還そう。
ゼノイラの民よ 聞いてくれ。,ゼノイラの民よ聞いてくれ。
もはや貴方たちの皇帝は死んだ ここにいるのはただ力をむさぼる怪物。,もはや貴方たちの皇帝は死んだここにいるのはただ力をむさぼる怪物。
これが貴方たちの望みか？ この怪物に利用されることが…。,これが貴方たちの望みかこの怪物に利用されることが。
無駄なことを…。,無駄なことを。
ゼノイラの民よ 心あるならば、手を貸してくれ！。,ゼノイラの民よ心あるならば、手を貸してくれ。
ぬ…おお…。,ぬおお。
力が…集まった魂が離れてゆく！。,力が集まった魂が離れてゆく。
馬鹿な…愚か者どもめ！！。,馬鹿な愚か者どもめ。
バルトロ…魂は力じゃない 人の意思…心だ！。,バルトロ魂は力じゃない人の意思心だ。
馬鹿な！。,馬鹿な。
術式が書き換えられただと！。,術式が書き換えられただと。
なんと… なんということだ…。,なんとなんということだ。
どうにか 間に合ったようだ。,どうにか間に合ったようだ。
無念…無念だ こうなっては…。,無念無念だこうなっては。
ぐおっ…。,ぐおっ。
逃げられぬぞ バルトロ…。,逃げられぬぞバルトロ。
おのれ…！この… 出来損ないの弟子どもめ…！。,おのれこの出来損ないの弟子どもめ。
おお…お…！ 消えるというのか。,おおお消えるというのか。
ワシの知識も…研究も…！！ 無に帰すと…！。,ワシの知識も研究も無に帰すと。
おおお…！。,おおお。
